Category,Model,Model Year,Manufacturer,Fuel,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Drivetrain
SUV,X3 M40i,2022.0,BMW,Hybrid Electric,,,21.0,23.0,AWD
SUV,X4 M40i,2022.0,BMW,Hybrid Electric,,,21.0,23.0,AWD
SUV,X5 sDrive40i,2022.0,BMW,Hybrid Electric,,,21.0,23.0,RWD
SUV,X5 xDrive40i,2022.0,BMW,Hybrid Electric,,,21.0,23.0,AWD
SUV,X5 xDrive45e,2022.0,BMW,Plug-in Hybrid Electric,,50.0,19.0,20.0,AWD
SUV,X6 xDrive40i,2022.0,BMW,Hybrid Electric,,,21.0,23.0,AWD
SUV,X7 xDrive40i,2022.0,BMW,Hybrid Electric,,,19.0,21.0,AWD
SUV,Escalade 2WD,2022.0,Cadillac,Biodiesel (B20),,,21.0,23.0,RWD
SUV,Escalade 4WD,2022.0,Cadillac,Biodiesel (B20),,,20.0,22.0,4WD
Sedan/Wagon,Bolt EUV,2022.0,Chevrolet,Electric,125.0,115.0,,,FWD
Sedan/Wagon,Bolt EV,2022.0,Chevrolet,Electric,131.0,120.0,,,FWD
Pickup,Colorado 2WD,2022.0,Chevrolet,Biodiesel (B20),,,20.0,23.0,RWD
Pickup,Colorado 4WD,2022.0,Chevrolet,Biodiesel (B20),,,19.0,22.0,4WD
Pickup,Colorado ZR2 4WD,2022.0,Chevrolet,Biodiesel (B20),,,18.0,19.0,4WD
Pickup,Silverado 2WD,2022.0,Chevrolet,Ethanol (E85),11.0,12.0,15.0,16.0,RWD
Pickup,Silverado 2WD,2022.0,Chevrolet,Biodiesel (B20),,,23.0,26.0,RWD
Pickup,Silverado 4WD,2022.0,Chevrolet,Ethanol (E85),11.0,12.0,14.0,15.0,4WD
Pickup,Silverado 4WD,2022.0,Chevrolet,Biodiesel (B20),,,22.0,23.0,4WD
Pickup,Silverado 4WD,2022.0,Chevrolet,Biodiesel (B20),,,22.0,24.0,4WD
Pickup,Silverado 4WD - Mud Terrain Tires,2022.0,Chevrolet,Biodiesel (B20),,,20.0,21.0,4WD
Pickup,Silverado 4WD - Mud Terrain Tires,2022.0,Chevrolet,Ethanol (E85),10.0,11.0,14.0,15.0,4WD
SUV,Suburban 2WD,2022.0,Chevrolet,Biodiesel (B20),,,21.0,23.0,RWD
SUV,Suburban 4WD,2022.0,Chevrolet,Biodiesel (B20),,,20.0,22.0,4WD
SUV,Tahoe 2WD,2022.0,Chevrolet,Biodiesel (B20),,,21.0,24.0,RWD
SUV,Tahoe 4WD,2022.0,Chevrolet,Biodiesel (B20),,,20.0,22.0,4WD
Van,Pacifica Hybrid,2022.0,Chrysler,Plug-in Hybrid Electric,,82.0,29.0,30.0,FWD
Sedan/Wagon,SF90 Spyder,2022.0,Ferrari,Plug-in Hybrid Electric,,44.0,16.0,17.0,AWD
Sedan/Wagon,SF90 Stradale ,2022.0,Ferrari,Plug-in Hybrid Electric,,51.0,16.0,18.0,AWD
Sedan/Wagon,Escape AWD HEV,2022.0,Ford,Hybrid Electric,,,43.0,40.0,AWD
Sedan/Wagon,Escape FWD HEV,2022.0,Ford,Hybrid Electric,,,44.0,41.0,FWD
SUV,Escape FWD PHEV,2022.0,Ford,Plug-in Hybrid Electric,,105.0,43.0,41.0,FWD
SUV,Explorer AWD FFV,2022.0,Ford,Ethanol (E85),11.0,13.0,16.0,19.0,AWD
SUV,Explorer HEV AWD,2022.0,Ford,Hybrid Electric,,,23.0,25.0,AWD
SUV,Explorer HEV RWD,2022.0,Ford,Hybrid Electric,,,27.0,27.0,RWD
SUV,Explorer Platinum HEV ,2022.0,Ford,Hybrid Electric,,,23.0,23.0,Part-Time 4WD
SUV,Explorer Platinum HEV ,2022.0,Ford,Hybrid Electric,,,25.0,26.0,RWD
Pickup,F-150 2WD FFV,2022.0,Ford,Ethanol (E85),14.0,16.0,19.0,21.0,RWD
Pickup,F-150 2WD FFV - Without Start/Stop,2022.0,Ford,Ethanol (E85),12.0,14.0,17.0,19.0,RWD
Pickup,F-150 2WD FFV - With Start/Stop,2022.0,Ford,Ethanol (E85),11.0,14.0,17.0,20.0,RWD
Pickup,F-150 4WD FFV,2022.0,Ford,Ethanol (E85),14.0,15.0,19.0,20.0,4WD
Pickup,F-150 4WD FFV - Without Start/Stop,2022.0,Ford,Ethanol (E85),12.0,14.0,16.0,18.0,4WD
Pickup,F-150 4WD FFV - With Start/Stop,2022.0,Ford,Ethanol (E85),11.0,13.0,16.0,19.0,4WD
Pickup,F150 Lightning 4WD,2022.0,Ford,Electric,76.0,68.0,,,AWD
Pickup,F150 Lightning 4WD Extended Range,2022.0,Ford,Electric,78.0,70.0,,,AWD
Pickup,F150 Lightning Platinum 4WD,2022.0,Ford,Electric,73.0,66.0,,,AWD
Pickup,F150 Pickup 2WD HEV,2022.0,Ford,Hybrid Electric,,,25.0,25.0,RWD
Pickup,F150 Pickup 4WD HEV,2022.0,Ford,Hybrid Electric,,,23.0,23.0,4WD
Pickup,Maverick Pickup HEV,2022.0,Ford,Hybrid Electric,,,42.0,37.0,FWD
SUV,Mustang Mach-E AWD,2022.0,Ford,Electric,98.0,93.0,,,AWD
SUV,Mustang Mach-E AWD California Route 1,2022.0,Ford,Electric,105.0,98.0,,,AWD
SUV,Mustang Mach-E AWD Extended,2022.0,Ford,Electric,97.0,91.0,,,AWD
SUV,Mustang Mach-E GT AWD,2022.0,Ford,Electric,90.0,84.0,,,AWD
SUV,Mustang Mach-E GT Performance,2022.0,Ford,Electric,88.0,82.0,,,AWD
SUV,Mustang Mach-E RWD,2022.0,Ford,Electric,110.0,103.0,,,RWD
