Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Manufacturer,Category,Fuel Code,Fuel,Drivetrain
12794,45,9.0,377,A7 quattro,2022,,,21.0,24.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12831,57,,377,A7 TFSI e quattro,2022,,70.0,25.0,27.0,Audi,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,AWD
12928,45,9.0,377,A8L quattro,2022,,,19.0,22.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12949,41,,377,e-tron GT,2022,81.0,82.0,,,Audi,Sedan/Wagon,ELEC,Electric,AWD
13002,41,,377,e-tron quattro,2022,78.0,78.0,,,Audi,SUV,ELEC,Electric,AWD
12950,41,,377,"e-tron S (20"" wheels)",2022,72.0,73.0,,,Audi,SUV,ELEC,Electric,AWD
12951,41,,377,"e-tron S (21"" or 22"" wheels)",2022,62.0,63.0,,,Audi,SUV,ELEC,Electric,AWD
13001,41,,377,e-tron Sportback quattro,2022,76.0,77.0,,,Audi,SUV,ELEC,Electric,AWD
12952,41,,377,"e-tron S Sportback (20"" wheels)",2022,73.0,75.0,,,Audi,SUV,ELEC,Electric,AWD
12953,41,,377,"e-tron S Sportback (21"" or 22"" wheels)",2022,64.0,65.0,,,Audi,SUV,ELEC,Electric,AWD
12954,41,,377,Q4 e-tron quattro,2022,100.0,95.0,,,Audi,SUV,ELEC,Electric,AWD
12955,41,,377,Q4 e-tron Sportback quattro,2022,100.0,95.0,,,Audi,SUV,ELEC,Electric,AWD
13023,45,9.0,377,Q5 quattro,2022,,,23.0,25.0,Audi,SUV,HYBR,Hybrid Electric,AWD
12795,45,9.0,377,Q5 S line quattro,2022,,,23.0,25.0,Audi,SUV,HYBR,Hybrid Electric,AWD
12796,45,9.0,377,Q5 Sportback S line quattro,2022,,,23.0,25.0,Audi,SUV,HYBR,Hybrid Electric,AWD
12832,57,,377,Q5 TFSI e quattro,2022,,61.0,25.0,26.0,Audi,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,AWD
12797,45,9.0,377,Q7 quattro,2022,,,18.0,20.0,Audi,SUV,HYBR,Hybrid Electric,AWD
12798,45,9.0,377,Q8 quattro,2022,,,18.0,20.0,Audi,SUV,HYBR,Hybrid Electric,AWD
12799,45,9.0,377,RS 6 Avant,2022,,,15.0,17.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12800,45,9.0,377,RS7,2022,,,15.0,17.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12956,41,,377,RS e-tron GT,2022,100.0,95.0,,,Audi,SUV,ELEC,Electric,AWD
12801,45,9.0,377,RS Q8,2022,,,13.0,15.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12792,45,9.0,377,S6,2022,,,18.0,22.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12793,45,9.0,377,S7,2022,,,18.0,22.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
12977,45,9.0,377,S8,2022,,,14.0,17.0,Audi,Sedan/Wagon,HYBR,Hybrid Electric,AWD
13090,57,9.0,355,Flying Spur Hybrid,2022,,46.0,17.0,19.0,Bentley Motors,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
13067,57,9.0,211,330e Sedan,2022,,75.0,25.0,28.0,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,RWD
13068,57,9.0,211,330e xDrive,2022,,67.0,22.0,25.0,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,AWD
13069,57,9.0,211,530e Sedan,2022,,64.0,24.0,26.0,BMW,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,RWD
